"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"
-3	46	20.8714285714286	71.9142857142857	17.700001	91	-0.368571428571432	-1.19238095238096	0	0	36	15
-3	46	20.9071428571429	73.5285714285714	18.4	90	-0.132857142857141	1.36190476190475	0	0	36	17
0	46	26.3142857142857	67.0214285714286	28.700001	69	0.154285714285713	0.434761904761899	0.266667999999999	0.666666666666671	36	13
0	46	24.06	70.18	29	69	0.0599999999999987	1.53999999999999	0.199999333333334	0	36	14
0	46	22.7933333333333	67.1133333333333	28.200001	67	-0.00666666666666771	-0.165238095238095	0	0	36	16
-1	46	22.2	64.6733333333333	28.3666663333333	62.6666666666667	-0.113333333333333	-0.299999999999997	-0.0333336666666675	-1.33333333333334	36	17
-0.5	46	23.0933333333333	70.9133333333333	23.700001	75	-1.32	-1.04666666666667	0	0	36	10
0	46	22.6866666666667	70.76	23.700001	75	-0.406666666666666	-0.153333333333322	0	0	36	10
0	46	22.6533333333333	71.6	24.9	70	-0.0133333333333354	-0.273333333333341	0	0	36	11
0	46	23.0933333333333	70.8466666666667	25.799999	68	0.300000000000001	-0.406666666666666	0	0	36	12
0	46	23.86	71.1866666666667	27.799999	55	-0.18	-0.519999999999996	0.399998666666665	-0.666666666666664	37	14
-2	46	23.5	70.4428571428572	27.799999	54.7142857142857	-0.379999999999999	-1.65047619047618	0	-0.285714285714285	37	15
0	46	23.2714285714286	70.6285714285714	23.200001	75	0.0980952380952402	-1.75142857142856	0	0	37	10
0	46	25.0133333333333	63.8933333333333	23.5	75	0.0933333333333337	-0.573333333333338	0	0	37	13
-1	46	24.2866666666667	67.4933333333333	21.9	79	-1.05333333333333	2.39333333333335	-1.06666666666667	2.66666666666667	37	13
-0.5	46	25.44	64.5466666666667	22.7666666666667	81	-0.033333333333335	0.286666666666662	-0.133333333333333	0	37	19
0.5	46	25.3933333333333	70.2533333333333	26.7666663333333	63.3333333333333	-0.0666666666666664	1.11999999999999	-0.533332666666666	2.33333333333334	37	19
0.5	46	26.5666666666667	56.8	19.4999996666667	61.6666666666667	-0.740000000000002	0.75333333333333	0.399999666666666	-1.33333333333334	39	8
0	46	23.8266666666667	58.8933333333333	21.700001	55	-0.0933333333333302	0.219999999999999	0.933334666666667	-2.66666666666666	39	9
-1	46	23.6333333333333	59.2933333333333	21.700001	55	-0.193333333333335	0.400000000000006	0	0	39	10
0	46	25.8466666666667	57.9	23	51	0.703809523809525	-2.27857142857143	0	0	39	11
-1	46	25.2933333333333	58.1333333333333	24.4	48	1.08	-1.39333333333334	0	0	39	12
-1	46	24.2933333333333	47.0133333333333	19.200001	41	0.00666666666666771	0.0533333333333346	1.20000066666667	-4.66666666666666	39	9
-0.5	46	25.8	50.6133333333333	23.5	45.3333333333333	0.185714285714287	-0.415238095238095	0.5	-3.66666666666666	39	12
0	46	25	48.8866666666667	25.0642857142857	34.3571428571429	-0.0785714285714292	-0.0133333333333354	-0.0357142857142847	0.357142857142854	39	16
0	46	26.1571428571429	61.7357142857143	24.6857146428571	53.2857142857143	-0.0561904761904763	0.0157142857142887	0.285714642857144	-0.714285714285715	40	12
0	42	25.8933333333333	61.4733333333333	31.6	58	-0.113333333333333	-1.18666666666666	0	0	33	12
0	30	23.9	65.3	32.4333313333333	53	-0.133333333333336	0.553333333333327	0.333333333333336	-1	33	13
2.25	42	23.9	65.3	32.4333313333333	53	-0.133333333333336	0.553333333333327	0.333333333333336	-1	33	13
3	42	24.5466666666667	69.04	33.099998	51	0.473333333333333	1.59999999999999	0	0	33	14
0	30	24.4933333333333	65.6533333333333	33.099998	50.3333333333333	-0.0533333333333346	-3.38666666666666	0	-0.666666666666664	33	14
0	30	26.6466666666667	62.8666666666667	33.099998	49	1.62666666666667	-2.52	0	0	33	15
3	42	27.4466666666667	60.3133333333333	33.1999993333333	48.3333333333333	0.799999999999997	-2.55333333333333	0.100001333333331	-0.666666666666664	33	15
3	42	24.14	63.86	33.400002	47	-0.539999999999999	0.173333333333332	0	0	33	16
0	30	23.8933333333333	64.38	33.6000013333333	47	-0.246666666666666	0.519999999999996	0.199999333333331	0	33	16
0	30	24.32	65.4866666666667	34	47	-0.453333333333333	1.20666666666666	0	0	33	17
0	42	23.9533333333333	67.18	33.900002	49	-0.740000000000002	2.44666666666666	-0.0666653333333329	1.33333333333334	33	17
0	30	24.4	74.9066666666667	29.5	70	-0.606666666666669	-1.65333333333334	0	0	33	10
0	30	23.7066666666667	77.3533333333333	30.299999	66	0.193333333333335	1.12	0	0	33	11
0	30	23.7133333333333	74.8733333333333	31.4	62	0.240000000000002	-1.09333333333333	0	0	33	12
0	30	23.5466666666667	73.6533333333333	32.900002	54	-0.32	-1.90666666666667	0	0	33	14
0	30	23.6666666666667	72.7066666666667	33.166665	51.6666666666667	0.033333333333335	0.74666666666667	0.0666670000000025	-0.333333333333336	33	15
-1	33	23.6666666666667	72.7066666666667	33.166665	51.6666666666667	0.033333333333335	0.74666666666667	0.0666670000000025	-0.333333333333336	33	15
1	34	23.38	73.58	33.299999	51	-0.286666666666669	0.873333333333335	0.133333999999998	-0.666666666666664	33	15
0	30	23.2933333333333	75.28	33.3333333333333	51.3333333333333	0.0133333333333319	0.0866666666666731	0.033334333333336	0.333333333333336	33	16
-1	33	23.3866666666667	75.3733333333333	33.400002	52	0.0533333333333346	0.713333333333338	0	0	33	17
-2	33	23.3466666666667	76.1733333333333	33.400002	52	-0.0399999999999991	0.799999999999997	0	0	33	17
0	30	22.7533333333333	75.26	32.599998	55	-0.166666666666668	-0.553333333333327	-0.533335999999998	2	33	17
0	34	22.3	74.6066666666667	32.099998	58	-0.213333333333331	-0.200000000000003	-0.333333333333336	2	33	18
-2	33	29.2666666666667	48.8066666666667	32.400002	52	-0.460000000000001	-1.45333333333333	0	0	34	14
0	34	26.68	70.0466666666667	28.700001	73	0.539999999999999	-0.0799999999999983	0.666666666666668	-2.66666666666667	34	9
0.5	33	26.68	70.0466666666667	28.700001	73	0.539999999999999	-0.0799999999999983	0.666666666666668	-2.66666666666667	34	9
-0.5	30	26.4666666666667	68.44	28.700001	73	0.379999999999999	-1.41333333333334	0	0	34	10
0	33	26.1466666666667	64.86	29.0333343333333	71.3333333333333	-0.319999999999997	-3.58	0.333333333333332	-1.66666666666667	34	10
1	34	26.1466666666667	64.86	29.0333343333333	71.3333333333333	-0.319999999999997	-3.58	0.333333333333332	-1.66666666666667	34	10
0	42	26.1466666666667	64.86	29.0333343333333	71.3333333333333	-0.319999999999997	-3.58	0.333333333333332	-1.66666666666667	34	10
1	33	25.7733333333333	64.2	29.700001	68	-0.366666666666667	0.993333333333339	0	0	34	11
0	42	26.0866666666667	62.2533333333333	30.133334	65.6666666666667	0.313333333333333	-1.94666666666667	0.433333000000001	-2.33333333333333	34	11
1	34	26.0866666666667	62.2533333333333	30.133334	65.6666666666667	0.313333333333333	-1.94666666666667	0.433333000000001	-2.33333333333333	34	11
0	30	26.0866666666667	62.2533333333333	30.133334	65.6666666666667	0.313333333333333	-1.94666666666667	0.433333000000001	-2.33333333333333	34	11
-1	33	25.3533333333333	62.8933333333333	31	61	-0.733333333333334	0.640000000000001	0.866665999999999	-4.66666666666667	34	11
0	39	25.6066666666667	64.3666666666667	31	61	0.253333333333334	1.47333333333333	0	0	34	12
0	42	25.6066666666667	64.3666666666667	31	61	0.253333333333334	1.47333333333333	0	0	34	12
1	39	26.9466666666667	57.8933333333333	31.5	60	0.453333333333333	-6.02666666666667	0	0	34	13
0	30	26.9466666666667	57.8933333333333	31.5	60	0.453333333333333	-6.02666666666667	0	0	34	13
0	30	26.3333333333333	59.5933333333333	31.9000003333333	58.3333333333333	-0.306666666666668	2.94666666666667	0.400000333333335	-1.66666666666666	34	13
0	30	25.9733333333333	60.78	32.700001	55	-0.359999999999999	1.18666666666667	0.800000666666666	-3.33333333333334	34	13
0	39	25.9733333333333	60.78	32.700001	55	-0.359999999999999	1.18666666666667	0.800000666666666	-3.33333333333334	34	13
1	34	25.9733333333333	60.78	32.700001	55	-0.359999999999999	1.18666666666667	0.800000666666666	-3.33333333333334	34	13
-1	33	25.5133333333333	60.8466666666667	32.700001	55	-0.460000000000001	0.0666666666666629	0	0	34	14
1	34	24.3466666666667	60.96	33	52	-0.0799999999999983	0.406666666666666	0.199999333333331	-2	34	14
0	39	24.3466666666667	60.96	33	52	-0.0799999999999983	0.406666666666666	0.199999333333331	-2	34	14
0	33	24.3466666666667	60.96	33	52	-0.0799999999999983	0.406666666666666	0.199999333333331	-2	34	14
0	30	24.16	65.5066666666667	32.866666	53	0.253333333333334	1.7	-0.133333999999998	1	34	15
