"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"	"k1816"	"x2121"
1.16666666666667	40	27.2285714285714	50.4142857142857	29.5	66	-1.57767857142857	-0.879464285714292	0.825000687500001	-2.0625	34	10	1	0
0.5	40	26.1666666666667	50	29.5	66	-1.06190476190476	-0.414285714285711	0	0	34	11	1	0
1	40	25.5333333333333	55.0066666666667	32.400002	50	0.213333333333331	0.5	0	0	34	15	1	0
-1	40	25.52	54.76	32.400002	50	-0.0133333333333319	-0.24666666666667	0	0	34	15	1	0
0	40	25.6866666666667	57.12	33	47	0.580000000000002	2.16	0.399998666666669	-2	34	15	1	0
0	40	25.7733333333333	58.7133333333333	32.400002	51	-0.00666666666666771	0.553333333333327	-0.399998666666669	2.66666666666666	34	16	1	0
-0.333333333333333	40	26.1933333333333	47.8866666666667	29.200001	69	-0.0799999999999983	-0.75333333333333	0.933334666666667	-4.66666666666667	34	9	1	0
1	40	27.0066666666667	56.96	29.200001	69	0.646666666666668	6.90666666666667	0	0	34	10	1	0
1	40	27.0714285714286	57.8642857142857	29.566667	67.3333333333333	0.0647619047619052	0.904285714285713	0.366665999999999	-1.66666666666667	34	10	1	0
0	40	26.3533333333333	54.3	30.299999	64	-0.718095238095241	-3.56428571428572	0.733332000000001	-3.33333333333333	34	10	1	0
1	40	25.7333333333333	50.88	30.299999	64	-0.619999999999997	-3.41999999999999	0	0	34	11	1	0
-1	40	26.1	53.06	30.299999	64	0.366666666666667	2.18	0	0	34	11	1	0
1	40	27.0533333333333	53.2666666666667	30.7666666666667	59.6666666666667	-0.293333333333333	4.42666666666666	0.166666666666668	-2.33333333333334	34	12	1	0
1	40	27.0466666666667	55.0133333333333	31.1	55	-0.00666666666666771	1.74666666666667	0.333333333333332	-4.66666666666666	34	12	1	0
0.5	38	27.0466666666667	55.0133333333333	31.1	55	-0.00666666666666771	1.74666666666667	0.333333333333332	-4.66666666666666	34	12	0	1
0	38	25.86	52.0533333333333	31.1666663333333	55.6666666666667	-0.033333333333335	0.666666666666671	0.0666663333333339	0.666666666666664	34	13	0	1
-3	38	25.2666666666667	48.86	31.299999	57	-0.920000000000002	-6.04666666666667	0	0	34	14	0	1
-3	38	23.54	44.8733333333333	31.5000003333333	55.6666666666667	-0.246666666666666	0.0933333333333337	0.100000333333334	-0.333333333333336	34	15	0	1
-3	38	23.0933333333333	45.04	31.700001	55	-0.246666666666666	0.233333333333334	0	0	34	16	0	1
-1	40	23.0933333333333	45.04	31.700001	55	-0.246666666666666	0.233333333333334	0	0	34	16	1	0
0.5	40	25.08	54.9266666666667	31.9333346666667	54	1.66666666666666	5.91333333333333	0.233333666666667	-1	34	16	1	0
0	38	26.5	54.8727272727273	33.3818187272727	49.0909090909091	1.42	-0.0539393939393946	1.44848406060606	-4.90909090909091	34	16	0	1
-2.1	40	26.5	54.8727272727273	33.3818187272727	49.0909090909091	1.42	-0.0539393939393946	1.44848406060606	-4.90909090909091	34	16	1	0
0.333333333333333	38	28.5666666666667	51.1866666666667	33.066666	47.6666666666667	1.82666666666667	-4.08666666666667	-0.733333000000002	2.66666666666666	34	18	0	1
1	38	26.82	60.2266666666667	30.4	59	-0.0466666666666669	0.346666666666664	0	0	34	20	0	1
1.125	38	26.76	60.4	30.0000003333333	61.3333333333333	-0.0599999999999987	0.173333333333332	-0.399999666666666	2.33333333333334	34	20	0	1
0.333333333333333	38	29.08	39.9666666666667	25.2666666666667	74.3333333333333	-0.913333333333334	-3.76	0.866666666666667	-3.66666666666667	35	8	0	1
1.5	38	28.8333333333333	40.1133333333333	27	67	-0.246666666666666	0.146666666666668	1.73333333333333	-7.33333333333333	35	8	0	1
2	38	28.5733333333333	34.3866666666667	29.4	59	-0.213333333333331	-0.773333333333326	0	0	35	10	0	1
0	38	28.2933333333333	33.3	29.9428568571429	57.3333333333333	-0.126666666666665	-0.260000000000005	0.542856857142858	-1.66666666666666	35	10	0	1
0	38	31.0266666666667	42.96	33.299999	49	-1.18047619047619	0.410000000000004	0	0	35	12	0	1
1	38	28.1	40.9733333333333	34.099998	43	-0.48	-0.693333333333328	0.533332666666666	-4	35	12	0	1
0	38	27.1733333333333	52.0066666666667	34.9285721428571	40.3333333333333	0.113333333333333	0.939999999999998	0.228571142857142	-0.666666666666664	35	15	0	1
0	38	26.1	48.5733333333333	28.5	70	0.0600000000000023	0.773333333333333	0.533332666666666	-2.66666666666667	35	9	0	1
2	38	26.12	47.6	29.4	65	0.0557142857142878	-0.699999999999996	0.578571428571429	-3.21428571428571	35	10	0	1
-0.333333333333333	38	28.8533333333333	38.6733333333333	31.299999	59	3.68	-4.31333333333333	0	0	35	12	0	1
0	38	27.2466666666667	56.4266666666667	31.8333333333333	54.3333333333333	-0.0933333333333337	-0.0133333333333283	0.133332333333332	-0.666666666666664	35	13	0	1
0	38	27.1214285714286	61.4642857142857	31.700001	55	0.0214285714285687	-0.0490476190476201	-0.333333333333336	1.33333333333334	35	16	0	1
0	38	26.8466666666667	65.82	27.9	76	-0.106666666666666	0.573333333333323	0	0	35	20	0	1
0	38	26.8133333333333	41.2866666666667	26.799999	73	-0.52	-1.36666666666667	0.733332000000001	-3.33333333333333	35	9	0	1
0	38	25.84	42.2333333333333	28.700001	65	-0.300000000000001	-0.366666666666667	0	0	35	11	0	1
