"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"	"c173"	"k1814"
-1	44	24.88	70.1733333333333	34.666665	44.3333333333333	-0.0199999999999996	0.0266666666666708	-0.433332999999998	0.333333333333336	34	17	0	1
3	46	25.5133333333333	69.8933333333333	24.4	78	-0.120000000000001	-2.24666666666667	0	0	35	8	1	0
1	46	23.4933333333333	72.7333333333333	34.799999	44	-0.606666666666669	1.44	-0.466667333333334	3.33333333333334	35	16	1	0
2	46	24.3133333333333	72.4666666666667	34.799999	44	0.653333333333332	-1.37333333333333	0	0	35	17	1	0
2	46	24.72	72.1466666666667	34.799999	44.3333333333333	0.406666666666666	-0.320000000000007	0	0.333333333333336	35	17	1	0
2.33333333333333	46	26.68	68.0066666666667	30.1	58	0.0666666666666664	-0.233333333333334	0	0	35	12	1	0
-0.111111111111111	44	25.3066666666667	73.1066666666667	29.6	63	-0.126666666666665	0.680000000000007	1.20000066666667	-2.14285714285714	35	10	0	1
-1	44	25.04	74.3333333333333	33.099998	51	-0.353333333333335	1.91333333333334	0.428570000000001	-2	35	13	0	1
-0.333333333333333	44	24.74	73.4533333333333	33.099998	51	-0.300000000000001	-0.88000000000001	0	0	35	14	0	1
-0.294117647058824	44	26.3785714285714	62.0571428571429	21.799999	66	0.13190476190476	-0.149523809523814	0.399998666666665	-1.33333333333333	36	13	0	1
0.285714285714286	44	26.9	62.8266666666667	19.299999	86	0.0133333333333319	-0.0733333333333377	0.399998666666665	-1.42857142857143	36	10	0	1
-0.25	44	26.4	64.16	19.299999	86	-0.666666666666668	2.16666666666666	0	0	36	11	0	1
0.363636363636364	44	27.66	62.56	24.0999996666667	73.1428571428571	0.16	-0.019999999999996	0.0999996666666654	-0.857142857142861	36	9	0	1
0.153846153846154	44	25.3666666666667	68.6666666666667	24.299999	71	-0.219999999999999	0.460000000000008	0	0	36	10	0	1
-2	46	21.4266666666667	73.68	28	62	-0.0933333333333337	0.813333333333333	0	0	36	13	1	0
1	46	22.7266666666667	78.0533333333333	28.2666663333333	59.6666666666667	1	2.55999999999999	0.266666333333333	-2.33333333333334	36	13	1	0
-0.333333333333333	46	21.1133333333333	84.0533333333333	22.299999	75	0.00666666666666771	0.306666666666658	0	0	36	14	1	0
0	46	25.3733333333333	77.3066666666667	30	60	0.426666666666669	-0.566666666666663	0.666666666666668	-5	37	15	1	0
-0.5	44	25.3733333333333	77.3066666666667	30	60	0.426666666666669	-0.566666666666663	0.666666666666668	-5	37	15	0	1
0	44	26.32	73.6733333333333	23.299999	85	0.539999999999999	-1.66	0	0	37	10	0	1
-0.5	44	26.54	72.7666666666667	23.8999993333333	83.3333333333333	0.219999999999999	-0.906666666666666	0.600000333333334	-1.66666666666667	37	10	0	1
0	44	27.6	68.0066666666667	22.200001	85	0	-0.213333333333338	0.800000666666666	-3.33333333333333	37	9	0	1
-1.33333333333333	44	25.88	72.2666666666667	22.5428578571429	83.3333333333333	-1.01333333333334	2.5	0.342856857142856	-1.66666666666667	37	10	0	1
0	44	25.5266666666667	73.8666666666667	23.4	80	-0.353333333333332	1.59999999999999	0.857142142857143	-3.33333333333333	37	10	0	1
-0.5	44	23.4466666666667	78.24	22.799999	81	-0.193333333333335	-0.400000000000006	0	0	37	10	0	1
0	44	25	72.1666666666667	27.1	57	1.35	-5.58333333333333	4.300001	-24	37	15	0	1
-0.111111111111111	44	27.05	62.15	22.6	76	1.63	-10.11	-4.4	17	38	9	0	1
0.333333333333333	44	25.3466666666667	65.4066666666667	22.6	76	-1.70333333333333	3.25666666666666	0	0	38	9	0	1
-1	44	23.5866666666667	74.18	24.5	70	-0.0866666666666696	1.25333333333334	1.35714285714286	-4	38	10	0	1
0	46	23.5866666666667	74.18	24.5	70	-0.0866666666666696	1.25333333333334	1.35714285714286	-4	38	10	1	0
-1	44	23.8266666666667	72.1533333333333	28.5	52	-0.233333333333331	0.193333333333328	0	0	38	15	0	1
0	44	24.3555555555556	82.5222222222222	21.799999	94	-0.244444444444444	9.52222222222223	3.699999	16	40	11	0	1
-1	46	24.2	83.7866666666667	25.1	82	0.0466666666666669	-0.0866666666666731	0	0	40	15	1	0
0.5	46	24.2642857142857	84.0642857142857	25.1	82	0.0642857142857132	0.277619047619055	0	0	40	15	1	0
0	46	23.8066666666667	82.6933333333333	25.1	81	-0.457619047619044	-1.37095238095239	0	-1	40	15	1	0
